Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
organic-apple,Organic Apple,"An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-avocado,Organic Avocado,"The avocado, a tree likely originating from south-central Mexico, is classified as a member of the flowering plant family Lauraceae. The fruit of the plant, also called an avocado (or avocado pear or alligator pear), is botanically a large berry containing a single large seed. Avocado trees are partially self-pollinating, and are often propagated through grafting to maintain predictable fruit quality and quantity.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-blackberry,Organic Blackberry,"The blackberry is an edible fruit produced by many species in the genus Rubus in the family Rosaceae, hybrids among these species within the subgenus Rubus, and hybrids between the subgenera Rubus and Idaeobatus. The taxonomy of blackberries has historically been confused because of hybridization and apomixis, so that species have often been grouped together and called species aggregates.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-blueberry,Organic Blueberry,"Blueberries are perennial flowering plants with blue or purple berries. They are classified in the section Cyanococcus within the genus Vaccinium. Vaccinium also includes cranberries, bilberries, huckleberries and Madeira blueberries.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-raspberry,Organic Raspberry,"The raspberry is the edible fruit of a multitude of plant species in the genus Rubus of the rose family, most of which are in the subgenus Idaeobatus. The name also applies to these plants themselves. Raspberries are perennial with woody stems.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-strawberry,Organic Strawberry,"The garden strawberry (or simply strawberry; Fragaria × ananassa) is a widely grown hybrid species of the genus Fragaria, collectively known as the strawberries, which are cultivated worldwide for their fruit. The fruit is widely appreciated for its characteristic aroma, bright red color, juicy texture, and sweetness.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-coconut,Organic Coconut,"The coconut tree (Cocos nucifera) is a member of the palm tree family (Arecaceae) and the only living species of the genus Cocos. The term ""coconut"" (or the archaic ""cocoanut"") can refer to the whole coconut palm, the seed, or the fruit, which botanically is a drupe, not a nut.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-lime,Organic Lime,"A lime (from French lime, from Arabic līma, from Persian līmū, ""lemon""), is a citrus fruit, which is typically round, green in color, 3–6 centimetres (1.2–2.4 in) in diameter, and contains acidic juice vesicles.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-lemon,Organic Lemon,"The lemon (Citrus limon) is a species of small evergreen tree in the flowering plant family Rutaceae, native to South Asia, primarily Northeast India.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-mango,Organic Mango,"A mango is an edible stone fruit produced by the tropical tree Mangifera indica which is believed to have originated from the region between northwestern Myanmar, Bangladesh, and northeastern India. M. indica has been cultivated in South and Southeast Asia since ancient times resulting in two distinct types of modern mango cultivars: the ""Indian type"" and the ""Southeast Asian type"".",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-cantaloupe,Organic Cantaloupe,"The cantaloupe, rockmelon (Australia and New Zealand), sweet melon, or spanspek (South Africa) is a melon that is a variety of the muskmelon species (Cucumis melo) from the family Cucurbitaceae. Cantaloupes range in weight from 0.5 to 5 kilograms (1 to 11 lb). Originally, cantaloupe referred only to the non-netted, orange-fleshed melons of Europe, but today may refer to any orange-fleshed melon of the C. melo species.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-watermelon,Organic Watermelon,"Watermelon (Citrullus lanatus) is a flowering plant species of the Cucurbitaceae family. A scrambling and trailing vine-like plant, it was originally domesticated in Africa. It is a highly cultivated fruit worldwide, with more than 1,000 varieties. Wild watermelon seeds have been found in the prehistoric Libyan site of Uan Muhuggiag. There is also evidence from seeds in Pharaoh tombs of watermelon cultivation in Ancient Egypt.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-honeydew,Organic Honeydew,The honeydew melon is one of the two main cultivar types in Cucumis melo Inodorus Group. It is characterized by the smooth rind and lack of musky odor. The other main type in the Inodorus Group is the wrinkle-rind casaba melon.,,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-papaya,Organic Papaya,"The papaya (from Carib via Spanish), papaw, or pawpaw is the plant Carica papaya, one of the 22 accepted species in the genus Carica of the family Caricaceae. Its origin is in the tropics of the Americas, perhaps from Central America and southern Mexico.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,
organic-pineapple,Organic Pineapple,"The pineapple (Ananas comosus) is a tropical plant with an edible fruit and the most economically significant plant in the family Bromeliaceae. The pineapple is indigenous to South America, where it has been cultivated for many centuries. The introduction of the pineapple to Europe in the 17th century made it a significant cultural icon of luxury.",,,organic,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,50,,TRUE,TRUE,,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,